ダウンロードした時刻：2024/08/29 11:11:53

,札幌,札幌,札幌,札幌,札幌,札幌,札幌
年月日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2024/7/28,23.1,8,1,76.0,0,8,1
2024/7/29,22.9,8,1,52.0,0,8,1
2024/7/30,23.7,8,1,0.0,0,8,1
2024/7/31,22.6,8,1,0,1,8,1
2024/8/1,23.5,8,1,1.0,0,8,1
2024/8/2,26.1,8,1,0,1,8,1
2024/8/3,25.7,8,1,5.0,0,8,1
2024/8/4,21.3,8,1,4.5,0,8,1
2024/8/5,21.5,8,1,0.0,0,8,1
2024/8/6,23.2,8,1,0.0,0,8,1
2024/8/7,25.9,8,1,0.0,0,8,1
2024/8/8,26.0,8,1,0.0,0,8,1
2024/8/9,26.7,8,1,0.0,0,8,1
2024/8/10,25.6,8,1,0.0,0,8,1
2024/8/11,25.3,8,1,0,1,8,1
2024/8/12,27.6,8,1,2.0,0,8,1
2024/8/13,26.0,8,1,17.5,0,8,1
2024/8/14,25.7,8,1,4.5,0,8,1
2024/8/15,24.0,8,1,0.0,0,8,1
2024/8/16,25.3,8,1,0,1,8,1
2024/8/17,24.3,8,1,0.0,0,8,1
2024/8/18,23.0,8,1,0.0,0,8,1
2024/8/19,23.8,8,1,4.5,0,8,1
2024/8/20,21.8,8,1,3.0,0,8,1
2024/8/21,23.2,8,1,0,1,8,1
2024/8/22,22.9,8,1,5.5,0,8,1
2024/8/23,28.0,8,1,0.0,0,8,1
2024/8/24,25.7,8,1,0.0,0,8,1
2024/8/25,24.3,8,1,0,1,8,1
2024/8/26,24.8,8,1,1.5,0,8,1
2024/8/27,22.3,8,1,34.0,0,8,1
2024/8/28,23.5,8,1,0,1,8,1
